"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","675","Create a new pet","Petstore API Smoke Test Suite","Mon Mar 09 17:23:05 UTC 2026","passed","Mon Mar 09 17:23:05 UTC 2026","com.example.smoke.PetSmokeTests","Smoke Tests","com.example.smoke.PetSmokeTests","testCreatePet"
"","617","Test pet ID boundaries","Petstore API Regression Test Suite","Mon Mar 09 17:23:50 UTC 2026","passed","Mon Mar 09 17:23:50 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetIdBoundaries"
"","281","Test POST pet with malformed JSON","Petstore API Regression Test Suite","Mon Mar 09 17:23:48 UTC 2026","passed","Mon Mar 09 17:23:48 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testPostPetWithMalformedPayload"
"","572","Test pet with null fields","Petstore API Regression Test Suite","Mon Mar 09 17:23:55 UTC 2026","passed","Mon Mar 09 17:23:56 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetWithNullFields"
"","617","Test pet creation with boundary name lengths","Petstore API Regression Test Suite","Mon Mar 09 17:23:48 UTC 2026","passed","Mon Mar 09 17:23:48 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetNameBoundaries"
"","294","Test POST pet with empty body","Petstore API Regression Test Suite","Mon Mar 09 17:23:47 UTC 2026","passed","Mon Mar 09 17:23:47 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testPostPetWithEmptyBody"
"","278","Test GET pet with invalid URL format","Petstore API Regression Test Suite","Mon Mar 09 17:23:50 UTC 2026","passed","Mon Mar 09 17:23:50 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testGetPetWithInvalidUrlFormat"
"","300","Test accessing invalid endpoints","Petstore API Regression Test Suite","Mon Mar 09 17:23:47 UTC 2026","passed","Mon Mar 09 17:23:47 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testInvalidEndpoints"
"","4259","Find pets by status - available","Petstore API Smoke Test Suite","Mon Mar 09 17:23:00 UTC 2026","passed","Mon Mar 09 17:23:04 UTC 2026","com.example.smoke.PetSmokeTests","Smoke Tests","com.example.smoke.PetSmokeTests","testFindPetsByStatus"
"","603","Test pet creation with boundary name lengths","Petstore API Regression Test Suite","Mon Mar 09 17:23:47 UTC 2026","passed","Mon Mar 09 17:23:48 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetNameBoundaries"
"","300","Test finding pets with invalid status values","Petstore API Regression Test Suite","Mon Mar 09 17:23:53 UTC 2026","passed","Mon Mar 09 17:23:53 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testInvalidStatusEnum"
"","3468","Test pet creation with boundary name lengths","Petstore API Regression Test Suite","Mon Mar 09 17:23:42 UTC 2026","passed","Mon Mar 09 17:23:46 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetNameBoundaries"
"","610","Test pet creation with boundary name lengths","Petstore API Regression Test Suite","Mon Mar 09 17:23:46 UTC 2026","passed","Mon Mar 09 17:23:46 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetNameBoundaries"
"","281","Test POST pet with malformed JSON","Petstore API Regression Test Suite","Mon Mar 09 17:23:47 UTC 2026","passed","Mon Mar 09 17:23:48 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testPostPetWithMalformedPayload"
"","562","Test pet with empty photoUrls array","Petstore API Regression Test Suite","Mon Mar 09 17:23:56 UTC 2026","passed","Mon Mar 09 17:23:56 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetWithEmptyPhotoUrls"
"","282","Test POST pet with malformed JSON","Petstore API Regression Test Suite","Mon Mar 09 17:23:48 UTC 2026","passed","Mon Mar 09 17:23:48 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testPostPetWithMalformedPayload"
"","292","Test accessing invalid endpoints","Petstore API Regression Test Suite","Mon Mar 09 17:23:47 UTC 2026","passed","Mon Mar 09 17:23:47 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testInvalidEndpoints"
"","801","Update pet status","Petstore API Smoke Test Suite","Mon Mar 09 17:23:06 UTC 2026","passed","Mon Mar 09 17:23:06 UTC 2026","com.example.smoke.PetSmokeTests","Smoke Tests","com.example.smoke.PetSmokeTests","testUpdatePet"
"","287","Test pet creation with boundary name lengths","Petstore API Regression Test Suite","Mon Mar 09 17:23:48 UTC 2026","passed","Mon Mar 09 17:23:49 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetNameBoundaries"
"","542","Delete pet by ID","Petstore API Smoke Test Suite","Mon Mar 09 17:23:06 UTC 2026","passed","Mon Mar 09 17:23:07 UTC 2026","com.example.smoke.PetSmokeTests","Smoke Tests","com.example.smoke.PetSmokeTests","testDeletePet"
"","588","Test pet ID boundaries","Petstore API Regression Test Suite","Mon Mar 09 17:23:50 UTC 2026","passed","Mon Mar 09 17:23:51 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetIdBoundaries"
"","617","Test pet creation with boundary name lengths","Petstore API Regression Test Suite","Mon Mar 09 17:23:46 UTC 2026","passed","Mon Mar 09 17:23:47 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetNameBoundaries"
"","279","Test POST pet with malformed JSON","Petstore API Regression Test Suite","Mon Mar 09 17:23:48 UTC 2026","passed","Mon Mar 09 17:23:49 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testPostPetWithMalformedPayload"
"","622","Test pet creation with boundary name lengths","Petstore API Regression Test Suite","Mon Mar 09 17:23:49 UTC 2026","passed","Mon Mar 09 17:23:50 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetNameBoundaries"
"","588","Test pet creation with boundary name lengths","Petstore API Regression Test Suite","Mon Mar 09 17:23:49 UTC 2026","passed","Mon Mar 09 17:23:49 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetNameBoundaries"
